alt_km,pres_mb,temp_k,density_cm-3,h2o_ppmv,o3_ppmv,n2o_ppmv,co_ppmv,ch4_ppmv
0.0,1013.0,294.2,2.496e+19,18600.0,0.0302,0.32,0.15,1.7
1.0,902.0,289.7,2.257e+19,13800.0,0.0334,0.32,0.145,1.7
2.0,802.0,285.2,2.038e+19,9680.0,0.0369,0.32,0.14,1.7
3.0,710.0,279.2,1.843e+19,5980.0,0.0422,0.32,0.135,1.7
4.0,628.0,273.2,1.666e+19,3810.0,0.0482,0.32,0.131,1.7
5.0,554.0,267.2,1.503e+19,2230.0,0.0551,0.32,0.13,1.69
6.0,487.0,261.2,1.351e+19,1510.0,0.0641,0.32,0.129,1.67
7.0,426.0,254.7,1.212e+19,1020.0,0.0776,0.32,0.125,1.65
8.0,372.0,248.2,1.086e+19,646.0,0.0913,0.32,0.119,1.63
9.0,324.0,241.7,9.716e+18,413.0,0.111,0.316,0.109,1.62
10.0,281.0,235.3,8.656e+18,247.0,0.13,0.31,0.0996,1.58
11.0,243.0,228.8,7.698e+18,95.6,0.179,0.299,0.0896,1.54
12.0,209.0,222.3,6.814e+18,29.4,0.223,0.294,0.0781,1.51
13.0,179.0,215.8,6.012e+18,8.0,0.3,0.286,0.0637,1.48
14.0,153.0,215.7,5.141e+18,5.0,0.44,0.28,0.0503,1.45
15.0,130.0,215.7,4.368e+18,3.4,0.5,0.272,0.0394,1.42
16.0,111.0,215.7,3.73e+18,3.3,0.6,0.261,0.0307,1.39
17.0,95.0,215.7,3.192e+18,3.2,0.7,0.242,0.0249,1.36
18.0,81.2,216.8,2.715e+18,3.15,1.0,0.217,0.0197,1.32
19.0,69.5,217.9,2.312e+18,3.2,1.5,0.184,0.0166,1.28
20.0,59.5,219.2,1.967e+18,3.3,2.0,0.161,0.0133,1.22
21.0,51.0,220.4,1.677e+18,3.45,2.4,0.132,0.0123,1.15
22.0,43.7,221.6,1.429e+18,3.6,2.9,0.115,0.0123,1.07
23.0,37.6,222.8,1.223e+18,3.85,3.4,0.104,0.0131,0.973
24.0,32.2,223.9,1.042e+18,4.0,4.0,0.0962,0.014,0.88
25.0,27.7,225.1,8.919e+17,4.2,4.8,0.0896,0.0152,0.789
27.5,19.07,228.5,6.05e+17,4.45,6.0,0.0801,0.0172,0.705
30.0,13.2,233.7,4.094e+17,4.7,7.0,0.067,0.02,0.632
32.5,9.3,239.0,2.82e+17,4.87,8.1,0.0496,0.0227,0.559
35.0,6.52,245.2,1.927e+17,4.95,8.9,0.037,0.0249,0.501
37.5,4.64,251.3,1.338e+17,5.0,8.7,0.0252,0.0272,0.445
40.0,3.33,257.5,9.373e+16,5.1,7.55,0.0174,0.0296,0.392
42.5,2.41,263.7,6.624e+16,5.3,5.9,0.0116,0.0314,0.339
45.0,1.76,269.9,4.726e+16,5.45,4.5,0.00767,0.0331,0.287
47.5,1.29,275.2,3.398e+16,5.5,3.5,0.00532,0.0349,0.238
50.0,0.951,275.7,2.5e+16,5.5,2.8,3.22e-30,0.0365,0.194
55.0,0.515,269.3,1.386e+16,5.35,1.8,0.00203,0.0392,0.157
60.0,0.272,257.1,7668000000000000.0,5.0,1.3,0.0014,0.0467,0.15
65.0,0.139,240.1,4196000000000000.0,4.4,0.8,0.00102,0.064,0.15
70.0,0.067,218.1,2227000000000000.0,3.7,0.4,0.000777,0.118,0.15
75.0,0.03,196.1,1109000000000000.0,2.95,0.19,0.000626,0.294,0.15
80.0,0.012,174.1,499600000000000.0,2.1,0.2,0.000517,0.682,0.15
85.0,0.00448,165.1,196700000000000.0,1.33,0.57,0.000435,1.47,0.15
90.0,0.00184,165.0,72040000000000.0,0.85,0.75,0.000373,2.85,0.14
95.0,0.000625,178.3,25410000000000.0,0.54,0.7,0.000324,5.17,0.13
100.0,0.000258,190.5,9816000000000.0,0.4,0.403,0.000284,10.1,0.12
105.0,0.000117,222.2,3816000000000.0,0.34,0.2,0.000252,18.7,0.11
110.0,6.11e-05,262.4,1688000000000.0,0.28,0.05,0.000226,28.6,0.095
115.0,3.56e-05,316.8,814500000000.0,0.24,0.005,0.000204,38.9,0.06
120.0,2.27e-05,380.0,433000000000.0,0.2,0.0005,0.000185,50.0,0.03
