ts,HE282_lw,HE283_lw,HE284_lw,HE285_lw,HE286_lw,HE287_lw,HE288_lw,HN119_lw,HN141_lw,HN151_lw,HN152_lw,HN153_lw,HN161_lw,HN162_lw,HN164_lw,HVO_lw,HVT_lw,MLO_lw,HE282_rh,HE283_rh,HE284_rh,HE285_rh,HE286_rh,HE287_rh,HE288_rh,HN119_rh,HN141_rh,HN151_rh,HN152_rh,HN153_rh,HN161_rh,HN162_rh,HN164_rh,HVO_rh,HVT_rh,MLO_rh,HE282_tmin,HE283_tmin,HE284_tmin,HE285_tmin,HE286_tmin,HE287_tmin,HN119_tmin,HN141_tmin,HN151_tmin,HN152_tmin,HN153_tmin,HN161_tmin,HN162_tmin,HN164_tmin,HVO_tmin,HVT_tmin,MLO_tmin,HE282_tmax,HE283_tmax,HE284_tmax,HE285_tmax,HE286_tmax,HE287_tmax,HN119_tmax,HN141_tmax,HN151_tmax,HN152_tmax,HN153_tmax,HN161_tmax,HN162_tmax,HN164_tmax,HVO_tmax,HVT_tmax,MLO_tmax
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,88.887,,94.688,,,,,,,,93.917,,,,,,,14.62,,8.341,,,,,,,,0.2,,,,,,,19.11,,10.57,,,,,,,,4.1
1990-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,88.253,,79.175,,,,,,,,65.5,,,,,,,14.06,,9.404,,,,,,,,0.3,,,,,,,19.82,,,,,,,,,,7.6
1990-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,83.302,,29.25,,,,,,,,34.0,,,,,,,13.74,,,,,,,,,,1.0,,,,,,,19.55,,,,,,,,,,7.8
1990-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,81.895,,31.775,,,,,,,,,,,,,,,13.18,,,,,,,,,,,,,,,,,20.31,,,,,,,,,,
1990-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,74.968,,24.304,,,,,,,,19.333,,,,,,,13.12,,,,,,,,,,0.1,,,,,,,21.6,,,,,,,,,,11.5
1990-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,75.393,,20.308,,,,,,,,,,,,,,,12.98,,,,,,,,,,,,,,,,,20.51,,,,,,,,,,
1990-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,81.99,,20.654,,,,,,,,13.833,,,,,,,12.71,,,,,,,,,,4.2,,,,,,,20.29,,,,,,,,,,
1990-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,87.09,,29.775,,,,,,,,10.75,,,,,,,12.19,,,,,,,,,,4.3,,,,,,,19.15,,,,,,,,,,13.2
1990-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,84.594,,22.346,,,,,,,,,,,,,,,12.8,,,,,,,,,,,,,,,,,19.93,,,,,,,,,,
1990-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,84.648,,6.9708,,,,,,,,15.458,,,,,,,11.4,,,,,,,,,,3.0,,,,,,,17.63,,,,,,,,,,12.0
1990-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,85.579,,13.204,,,,,,,,9.375,,,,,,,10.48,,,,,,,,,,1.4,,,,,,,17.13,,,,,,,,,,11.7
1990-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,75.421,,27.75,,,,,,,,23.333,,,,,,,11.58,,,,,,,,,,0.0,,,,,,,19.55,,,,,,,,,,
1990-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,75.285,,76.971,,,,,,,,31.208,,,,,,,12.81,,,,,,,,,,-1.6,,,,,,,20.36,,,,,,,,,,
1990-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,80.285,,74.304,,,,,,,,33.167,,,,,,,12.33,,,,,,,,,,-1.6,,,,,,,20.27,,,,,,,,,,
1990-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,86.181,,87.079,,,,,,,,,,,,,,,14.41,,,,,,,,,,0.6,,,,,,,18.31,,,,,,,,,,
1990-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,84.098,,88.621,,,,,,,,77.625,,,,,,,15.21,,,,,,,,,,0.0,,,,,,,19.15,,,,,,,,,,
1990-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,83.633,,94.679,,,,,,,,75.792,,,,,,,14.28,,,,,,,,,,0.0,,,,,,,20.36,,,,,,,,,,
1990-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,88.196,,86.671,,,,,,,,77.333,,,,,,,15.0,,,,,,,,,,2.1,,,,,,,20.52,,,,,,,,,,
1990-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,96.833,,,,,,,,,,,,,,,,,16.25,,,,,,,,,,,,,,,,,18.23,,,,,,,,,,
1990-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,94.496,,,,,,,,,,85.208,,,,,,,15.5,,,,,,,,,,2.3,,,,,,,20.38,,,,,,,,,,
1990-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,81.827,,,,,,,,,,70.833,,,,,,,15.35,,,,,,,,,,2.0,,,,,,,22.34,,,,,,,,,,
1990-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,94.726,,,,,,,,,,,,,,,,,14.77,,,,,,,,,,,,,,,,,19.2,,,,,,,,,,
1990-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,88.348,,,,,,,,,,83.208,,,,,,,14.53,,,,,,,,,,2.0,,,,,,,19.16,,,,,,,,,,
1990-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,87.795,,,,,,,,,,,,,,,,,13.93,,,,,,,,,,0.8,,,,,,,18.54,,,,,,,,,,
1990-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,87.082,,,,,,,,,,80.125,,,,,,,15.89,,,,,,,,,,2.8,,,,,,,20.07,,,,,,,,,,
1990-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,91.298,,,,,,,,,,42.0,,,,,,,15.62,,,,,,,,,,4.8,,,,,,,20.42,,,,,,,,,,
1990-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,91.892,,51.621,,,,,,,,,,,,,,,15.5,,,,,,,,,,5.1,,,,,,,20.3,,,,,,,,,,
1990-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,89.948,,30.646,,,,,,,,,,,,,,,14.47,,,,,,,,,,4.8,,,,,,,19.37,,,,,,,,,,
1990-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,86.977,,38.554,,,,,,,,,,,,,,,13.53,,,,,,,,,,3.6,,,,,,,20.89,,,,,,,,,,
1990-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,83.953,,29.337,,,,,,,,10.25,,,,,,,12.79,,,,,,,,,,3.1,,,,,,,20.39,,,,,,,,,,
1990-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,82.46,,59.304,,,,,,,,,,,,,,,12.63,,,,,,,,,,,,,,,,,21.23,,,,,,,,,,
1990-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.258,,,,,,,,79.292,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,8.5
1990-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.167,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,5.1
1990-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.667,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,6.5
1990-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,83.386,,,,,,,,,,35.875,,,,,,,14.01,,,,,,,,,,0.9,,,,,,,20.55,,,,,,,,,,9.3
1990-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,84.012,,53.196,,,,,,,,20.708,,,,,,,13.9,,9.073,,,,,,,,2.1,,,,,,,20.5,,17.22,,,,,,,,12.7
1990-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,83.337,,65.463,,,,,,,,,,,,,,,12.85,,7.859,,,,,,,,,,,,,,,21.27,,13.17,,,,,,,,
1990-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,76.366,,89.642,,,,,,,,,,,,,,,12.07,,4.366,,,,,,,,-1.7,,,,,,,19.98,,8.062,,,,,,,,
1990-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,75.008,,88.067,,,,,,,,11.583,,,,,,,10.82,,3.352,,,,,,,,-2.1,,,,,,,19.36,,7.093,,,,,,,,5.9
1990-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,79.967,,53.642,,,,,,,,,,,,,,,10.55,,4.9,,,,,,,,,,,,,,,18.48,,14.39,,,,,,,,
1990-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,81.87,,78.992,,,,,,,,14.167,,,,,,,11.13,,5.065,,,,,,,,0.0,,,,,,,18.92,,11.37,,,,,,,,8.5
1990-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,80.903,,87.85,,,,,,,,,,,,,,,10.98,,2.452,,,,,,,,-3.2,,,,,,,17.78,,9.5,,,,,,,,4.0
1990-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,77.942,,78.617,,,,,,,,26.292,,,,,,,10.46,,2.219,,,,,,,,-3.3,,,,,,,18.51,,9.503,,,,,,,,
1990-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,70.496,,62.917,,,,,,,,12.458,,,,,,,12.16,,1.127,,,,,,,,0.6,,,,,,,19.56,,12.69,,,,,,,,
1990-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,71.57,,78.963,,,,,,,,,,,,,,,12.4,,2.886,,,,,,,,,,,,,,,19.62,,11.44,,,,,,,,
1990-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,72.223,,66.383,,,,,,,,20.125,,,,,,,13.3,,5.064,,,,,,,,1.7,,,,,,,22.05,,13.22,,,,,,,,
1990-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,78.756,,40.992,,,,,,,,,,,,,,,12.62,,6.692,,,,,,,,1.1,,,,,,,20.15,,14.5,,,,,,,,
1990-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,84.697,,81.979,,,,,,,,,,,,,,,13.46,,7.686,,,,,,,,2.5,,,,,,,19.64,,11.45,,,,,,,,
1990-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,95.771,,96.533,,,,,,,,10.333,,,,,,,9.266,,1.426,,,,,,,,-2.0,,,,,,,13.55,,7.874,,,,,,,,
1990-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,85.246,,72.796,,,,,,,,12.208,,,,,,,9.036,,1.312,,,,,,,,-2.8,,,,,,,14.2,,10.02,,,,,,,,
1990-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,82.37,,31.508,,,,,,,,13.708,,,,,,,9.216,,5.309,,,,,,,,0.0,,,,,,,15.5,,14.73,,,,,,,,
1990-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,81.139,,41.983,,,,,,,,14.208,,,,,,,9.636,,7.606,,,,,,,,1.6,,,,,,,16.48,,11.78,,,,,,,,
1990-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,82.488,,60.129,,,,,,,,15.417,,,,,,,11.4,,5.0,,,,,,,,2.6,,,,,,,17.79,,11.39,,,,,,,,
1990-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,75.84,,57.029,,,,,,,,48.292,,,,,,,12.31,,6.784,,,,,,,,3.7,,,,,,,19.37,,12.49,,,,,,,,
