,year,cs_base,cs_reno,cs_union,cs_intersect,total
0,2000,19883,25048,19318,25613,69310
1,2001,20619,26762,20126,27255,75643
2,2002,18850,25384,18356,25878,73259
3,2003,21721,27459,21220,27960,76528
4,2004,18839,24790,18441,25188,77119
5,2005,20371,27291,19743,27919,78187
6,2006,18662,23790,18150,24302,73839
7,2007,22480,28679,21905,29254,79285
8,2008,19204,24794,18766,25232,71680
9,2009,48051,46410,40157,54304,218042
10,2010,71332,70624,61514,80442,234653
11,2011,59848,57855,51546,66157,226436
12,2012,79030,79847,68379,90498,239397
13,2013,57970,57195,49607,65558,228925
14,2014,51753,51400,43356,59797,230759
15,2015,55390,56117,48382,63125,231280
16,2016,55176,54404,46466,63114,238060
17,2017,60733,58763,49975,69521,248385
18,2018,60929,57822,51340,67411,211344
19,2019,53470,50941,45151,59260,242625
20,2020,63181,62351,54002,71530,240490
21,2021,62458,60793,53426,69825,229467
22,2022,67469,68309,59382,76396,238386
