,year,cs_base,cs_reno,cs_union,cs_intersect,total
0,2000,24962,29528,24051,30439,74543
1,2001,25036,29286,24246,30076,74360
2,2002,28166,32826,27291,33701,77306
3,2003,25570,29569,24759,30380,76996
4,2004,24461,28717,23711,29467,76372
5,2005,28366,32766,27644,33488,77324
6,2006,25787,30057,25036,30808,76167
7,2007,28339,32461,27518,33282,78817
8,2008,28824,32685,27965,33544,77881
9,2009,79849,73804,70449,83204,223337
10,2010,78967,78506,70146,87327,232199
11,2011,85261,82726,75728,92259,229851
12,2012,88576,82120,77491,93205,238580
13,2013,79884,75153,70509,84528,232862
14,2014,70948,66011,61355,75604,229632
15,2015,76410,72662,67212,81860,236812
16,2016,86479,82367,76108,92738,241078
17,2017,73010,68611,63372,78249,244442
18,2018,90659,84337,79692,95304,237812
19,2019,75310,69423,65252,79481,237269
20,2020,87898,83213,77612,93499,238187
21,2021,93302,88006,82909,98399,233614
22,2022,90805,86921,81618,96108,232007
