,year,cs_base,cs_reno,cs_union,cs_intersect,total
0,2000,45090,48506,44264,49332,78006
1,2001,49261,52684,48567,53378,81877
2,2002,42828,46245,42125,46948,82972
3,2003,46153,49815,45453,50515,88014
4,2004,53033,55845,52371,56507,83553
5,2005,45272,48035,44546,48761,76719
6,2006,48870,52057,48007,52920,82831
7,2007,53402,56637,52722,57317,83931
8,2008,53332,56815,52667,57480,82530
9,2009,149163,142962,140171,151954,247516
10,2010,126610,121898,119851,128657,219931
11,2011,154779,150008,146176,158611,250204
12,2012,157795,151275,147646,161424,251586
13,2013,160825,154736,151390,164171,251193
14,2014,142490,137924,134896,145518,249593
15,2015,135587,129054,126437,138204,250146
16,2016,145361,137649,134485,148525,254699
17,2017,145663,136746,134450,147959,257609
18,2018,152556,146113,142222,156447,251376
19,2019,134524,129431,126260,137695,235237
20,2020,158673,153949,148553,164069,254804
21,2021,149750,144279,139773,154256,249868
22,2022,159427,152625,148136,163916,252183
