,year,cs_base,cs_reno,cs_union,cs_intersect,total
0,2000,26598,33214,26051,33761,80687
1,2001,27833,33489,27342,33980,76064
2,2002,24832,30458,24368,30922,79737
3,2003,21461,26289,20937,26813,65967
4,2004,23356,28975,22862,29469,74692
5,2005,24498,30109,24031,30576,78777
6,2006,24727,29956,24146,30537,77035
7,2007,24789,30397,24213,30973,79410
8,2008,25860,31027,25290,31597,78484
9,2009,60917,57684,54343,64258,197000
10,2010,74113,71783,66079,79817,231475
11,2011,82140,77298,73274,86164,241486
12,2012,79301,75633,70603,84331,243492
13,2013,73924,69402,65106,78220,245641
14,2014,65740,61531,57335,69936,237192
15,2015,81689,74991,71226,85454,233330
16,2016,72770,66911,63853,75828,241480
17,2017,75966,71670,66227,81409,251254
18,2018,78801,78513,71537,85777,254217
19,2019,67023,64049,59259,71813,251927
20,2020,68410,65127,60922,72615,247030
21,2021,74665,74674,66793,82546,254089
22,2022,74487,70291,66061,78717,246492
