,year,cs_base,cs_reno,cs_union,cs_intersect,total
0,2000,26650,31306,25756,32200,78151
1,2001,23904,28723,23156,29471,76080
2,2002,21613,26380,20781,27212,78268
3,2003,21525,25441,20977,25989,66533
4,2004,18043,20985,17525,21503,62064
5,2005,26943,31720,26102,32561,78735
6,2006,28003,32625,27225,33403,78587
7,2007,24803,29548,24065,30286,79194
8,2008,25946,29958,25376,30528,74133
9,2009,69621,64680,60449,73852,219228
10,2010,90943,82026,77347,95622,226573
11,2011,88725,81108,75928,93905,222959
12,2012,91267,83680,77696,97251,241287
13,2013,64804,60153,54583,70374,226831
14,2014,61477,55027,50685,65819,207279
15,2015,69116,63497,58714,73899,229853
16,2016,80965,74364,69600,85729,240163
17,2017,73923,66532,61675,78780,240415
18,2018,70051,60928,57609,73370,238760
19,2019,71669,65252,60742,76179,231253
20,2020,69597,62717,58669,73645,228096
21,2021,70434,65024,60709,74749,228819
22,2022,85834,79424,73834,91424,231673
