,year,cs_base,cs_reno,cs_union,cs_intersect,total
0,2000,12100,16168,11850,16418,63090
1,2001,15511,20919,15008,21422,73119
2,2002,14580,20195,14178,20597,75800
3,2003,13113,16800,12737,17176,72135
4,2004,10932,14734,10667,14999,62086
5,2005,15098,19698,14720,20076,70199
6,2006,14021,18082,13592,18511,71342
7,2007,14779,18307,14234,18852,66107
8,2008,15415,19661,14888,20188,76306
9,2009,40989,35589,33429,43149,218271
10,2010,55225,48786,46105,57906,229587
11,2011,44293,39559,36781,47071,218601
12,2012,54274,47236,44825,56685,224847
13,2013,39777,35116,31622,43271,223344
14,2014,39747,33424,31135,42036,226105
15,2015,46544,40520,37737,49327,230361
16,2016,46683,41978,38654,50007,225521
17,2017,40808,35687,33531,42964,226400
18,2018,37553,33271,30770,40054,228363
19,2019,37817,33912,31314,40415,209852
20,2020,46268,43354,39331,50291,226414
21,2021,46812,41078,38279,49611,220656
22,2022,50514,46509,42341,54682,229498
