,year,cs_base,cs_reno,cs_union,cs_intersect,total
0,2003,16731,19769,16430,20070,44030
1,2004,22292,26941,21730,27503,75689
2,2005,25434,31028,24974,31488,78176
3,2006,22160,26848,21690,27318,71042
4,2007,26583,32256,26105,32734,76185
5,2008,26922,32894,26461,33355,78650
6,2009,73694,68054,64086,77662,246995
7,2010,76995,77702,69998,84699,226702
8,2011,74692,70465,65093,80064,233536
9,2012,90890,85094,79224,96760,239139
10,2013,68328,65462,59905,73885,227828
11,2014,63978,62823,56139,70662,233720
12,2015,76776,74891,68373,83294,245184
13,2016,73436,75580,65274,83742,245564
14,2017,65803,65894,57641,74056,231171
15,2018,59677,57113,52248,64542,199013
16,2019,58771,57391,51974,64188,209154
17,2020,71928,71689,64275,79342,227763
18,2021,82719,78763,72460,89022,228448
19,2022,82670,80454,72901,90223,239398
