,year,c1,c2,c3
0,2000,0.6,1.3431,0.13
1,2001,0.6,1.3741,0.13
2,2002,0.6,1.4097,0.13
3,2003,0.6,1.4317,0.13
4,2004,0.6,1.3982,0.13
5,2005,0.6,1.4208,0.13
6,2006,0.6,1.4107,0.13
7,2007,0.6,1.412,0.13
8,2008,0.6,1.4095,0.13
9,2009,0.6,1.4098,0.13
10,2010,0.6,1.4472,0.13
11,2011,0.6,1.429,0.13
12,2012,0.6,1.4871,0.13
13,2013,0.6,1.4892,0.13
14,2014,0.6,1.4866,0.13
15,2015,0.6,1.5044,0.13
16,2016,0.6,1.5001,0.13
17,2017,0.6,1.516,0.13
18,2018,0.6,1.5457,0.13
19,2019,0.6,1.5726,0.13
20,2020,0.6,1.6027,0.13
21,2021,0.6,1.5726,0.13
22,2022,0.6,1.6122,0.13
