,year,c1,c2,c3
0,2000,0.5711,1.7343,0.0
1,2001,0.5733,1.7487,0.0
2,2002,0.5802,1.6979,0.0
3,2003,0.592,1.5936,0.0
4,2004,0.593,1.5605,0.0
5,2005,0.5786,1.7081,0.0
6,2006,0.565,1.831,0.0
7,2007,0.5715,1.7741,0.0
8,2008,0.5795,1.6996,0.0
9,2009,0.5843,1.661,0.0
10,2010,0.5852,1.6751,0.0
11,2011,0.5752,1.7441,0.0
12,2012,0.5745,1.8194,0.0
13,2013,0.5907,1.6666,0.0
14,2014,0.5907,1.6679,0.0
15,2015,0.5829,1.7624,0.0
16,2016,0.5825,1.755,0.0
17,2017,0.5955,1.647,0.0
18,2018,0.6045,1.5837,0.0
19,2019,0.6131,1.5273,0.0
20,2020,0.6218,1.4646,0.0
21,2021,0.6055,1.6022,0.0
22,2022,0.6144,1.5512,0.0
