,year,c1,c2,c3
0,2000,0.5993,1.5361,0.213
1,2001,0.5957,1.641,0.2375
2,2002,0.6104,1.4763,0.2027
3,2003,0.6417,1.1871,0.2586
4,2004,0.6271,1.3321,0.2494
5,2005,0.6085,1.5459,0.2597
6,2006,0.5975,1.6319,0.2421
7,2007,0.6006,1.6025,0.2241
8,2008,0.6042,1.5524,0.1994
9,2009,0.6095,1.5226,0.2415
10,2010,0.6077,1.5325,0.1867
11,2011,0.6022,1.5753,0.1806
12,2012,0.6087,1.5892,0.2157
13,2013,0.6109,1.5216,0.1833
14,2014,0.6208,1.4459,0.1874
15,2015,0.6291,1.443,0.2802
16,2016,0.6051,1.5684,0.1449
17,2017,0.6088,1.507,0.136
18,2018,0.6286,1.3797,0.1836
19,2019,0.6441,1.1946,0.1383
20,2020,0.6436,1.2434,0.1749
21,2021,0.6328,1.2876,0.1365
22,2022,0.6268,1.3511,0.1024
