,year,c1,c2,c3
0,2000,0.6,1.6,0.2366
1,2001,0.6,1.6,0.201
2,2002,0.6,1.6,0.1628
3,2003,0.6,1.6,0.1303
4,2004,0.6,1.6,0.1563
5,2005,0.6,1.6,0.19
6,2006,0.6,1.6,0.2056
7,2007,0.6,1.6,0.1901
8,2008,0.6,1.6,0.1724
9,2009,0.6,1.6,0.1724
10,2010,0.6,1.6,0.1354
11,2011,0.6,1.6,0.1733
12,2012,0.6,1.6,0.1143
13,2013,0.6,1.6,0.0891
14,2014,0.6,1.6,0.0861
15,2015,0.6,1.6,0.0917
16,2016,0.6,1.6,0.0661
17,2017,0.6,1.6,0.0287
18,2018,0.6,1.6,0.0057
19,2019,0.6,1.6,-0.0637
20,2020,0.6,1.6,-0.1085
21,2021,0.6,1.6,-0.058
22,2022,0.6,1.6,-0.1124
