date,month_str,value
1979-01-01,DJ,0.47
1979-02-01,JF,0.27
1979-03-01,FM,-0.04
1979-04-01,MA,0.26
1979-05-01,AM,0.35
1979-06-01,MJ,-0.14
1979-07-01,JJ,-0.13
1979-08-01,JA,0.5
1979-09-01,AS,0.42
1979-10-01,SO,0.28
1979-11-01,ON,0.58
1979-12-01,ND,0.68
1980-01-01,DJ,0.42
1980-02-01,JF,0.3
1980-03-01,FM,0.52
1980-04-01,MA,0.85
1980-05-01,AM,0.71
1980-06-01,MJ,0.55
1980-07-01,JJ,0.52
1980-08-01,JA,0.13
1980-09-01,AS,0.19
1980-10-01,SO,0.06
1980-11-01,ON,-0.09
1980-12-01,ND,-0.09
1981-01-01,DJ,-0.28
1981-02-01,JF,-0.19
1981-03-01,FM,0.16
1981-04-01,MA,0.15
1981-05-01,AM,-0.38
1981-06-01,MJ,-0.63
1981-07-01,JJ,-0.51
1981-08-01,JA,-0.25
1981-09-01,AS,0.03
1981-10-01,SO,-0.05
1981-11-01,ON,-0.16
1981-12-01,ND,-0.18
1982-01-01,DJ,-0.44
1982-02-01,JF,-0.61
1982-03-01,FM,-0.31
1982-04-01,MA,0.13
1982-05-01,AM,0.66
1982-06-01,MJ,1.42
1982-07-01,JJ,1.87
1982-08-01,JA,1.93
1982-09-01,AS,1.74
1982-10-01,SO,1.87
1982-11-01,ON,2.25
1982-12-01,ND,2.45
1983-01-01,DJ,2.59
1983-02-01,JF,2.73
1983-03-01,FM,2.71
1983-04-01,MA,2.74
1983-05-01,AM,2.6
1983-06-01,MJ,1.58
1983-07-01,JJ,0.88
1983-08-01,JA,0.03
1983-09-01,AS,-0.41
1983-10-01,SO,-0.44
1983-11-01,ON,-0.42
1983-12-01,ND,-0.44
1984-01-01,DJ,-0.38
1984-02-01,JF,-0.36
1984-03-01,FM,-0.06
1984-04-01,MA,-0.06
1984-05-01,AM,-0.78
1984-06-01,MJ,-0.75
1984-07-01,JJ,-0.23
1984-08-01,JA,-0.02
1984-09-01,AS,-0.06
1984-10-01,SO,-0.01
1984-11-01,ON,-0.59
1984-12-01,ND,-0.32
1985-01-01,DJ,-0.31
1985-02-01,JF,-0.57
1985-03-01,FM,-0.51
1985-04-01,MA,-0.68
1985-05-01,AM,-1.04
1985-06-01,MJ,-0.24
1985-07-01,JJ,-0.02
1985-08-01,JA,-0.36
1985-09-01,AS,-0.35
1985-10-01,SO,0.05
1985-11-01,ON,0.11
1985-12-01,ND,-0.36
1986-01-01,DJ,-0.42
1986-02-01,JF,-0.33
1986-03-01,FM,-0.37
1986-04-01,MA,-0.3
1986-05-01,AM,0.24
1986-06-01,MJ,0.61
1986-07-01,JJ,0.77
1986-08-01,JA,1.24
1986-09-01,AS,1.38
1986-10-01,SO,0.57
