Pw/Patm,H2O,H2O+CO2,H2O+CO2+O3,+aerosols,+N2O,+CH4,+O2,+N2,+Overlap
0.00123,0.537516392,0.64658616,0.658703688,0.674326632,0.674693123,0.68029895,0.680298998,0.680295465,0.688130466
0.00246,0.5921719,0.684247144,0.696173415,0.71027558,0.709861199,0.714494943,0.714494946,0.714491415,0.720884785
0.00369,0.6272606,0.70639365,0.718107934,0.731267018,0.730365516,0.734410308,0.734410309,0.734406782,0.739780827
0.00492,0.654577666,0.722858459,0.734334606,0.746745473,0.745498945,0.749118935,0.749118935,0.749115413,0.753688179
0.00614,0.677817434,0.736618432,0.747834457,0.759569997,0.758063399,0.761348924,0.761348924,0.761345406,0.765257798
0.00737,0.698530612,0.748926322,0.759861256,0.770952933,0.769242944,0.772250346,0.772250346,0.772246832,0.775602394
0.0086,0.717489124,0.760404689,0.77103733,0.781509311,0.779636591,0.782403972,0.782403972,0.782400463,0.785280814
0.00983,0.735125958,0.771375593,0.78168747,0.791558134,0.789552882,0.792107956,0.792107956,0.792104452,0.794575906
0.0111,0.751694054,0.782006862,0.791983172,0.801265728,0.799150989,0.801515071,0.801515071,0.801511573,0.803629262
0.0123,0.76734615,0.792384595,0.802013666,0.810719772,0.808513525,0.810703717,0.810703717,0.810700226,0.812510784
0.0135,0.782177709,0.802544927,0.811818359,0.819958486,0.817675117,0.819705636,0.819705636,0.819702153,0.821245471
0.0147,0.796250325,0.81249676,0.821408842,0.828993987,0.826645206,0.828528216,0.828528216,0.828524741,0.82983522
0.016,0.809606265,0.822229133,0.830777685,0.837817446,0.835413015,0.83715917,0.83715917,0.837155702,0.838263132
0.0172,0.822277909,0.831731962,0.839915568,0.846425553,0.843973824,0.845592592,0.845592592,0.845589133,0.846519493
0.0184,0.83429815,0.840981369,0.848804525,0.854801942,0.852310533,0.853810377,0.853810377,0.853806927,0.854582805
0.0197,0.845682427,0.849963804,0.857428812,0.862935305,0.860410743,0.861799455,0.861799455,0.861796017,0.862437268
0.0209,0.856472885,0.858684505,0.865792694,0.87085389,0.868302836,0.869587431,0.869587431,0.869584004,0.870108027
0.0221,0.866674081,0.867110912,0.873865716,0.878513294,0.875941525,0.877128692,0.877128692,0.87712528,0.877547331
0.0233,0.87632125,0.875246995,0.881649327,0.88592985,0.883342751,0.884438734,0.884438734,0.884435337,0.884768611
0.0246,0.885374487,0.883024019,0.889081311,0.893029369,0.890432645,0.891443624,0.891443624,0.891440244,0.891696804
