station,SKN,id,LAT,LON,elev
Spencer,132.3,HE282,19.96358,-155.25014,454
Laupahoehoe,127.5,HE283,19.93217,-155.29129,1145
Hakalau,128.1,HE284,19.83873,-155.30797,1665
KiholoBay,93.9,HE285,19.85497,-155.9247,2
Palamanui,69.25,HE286,19.73756,-155.99582,297
Mamalahoa,93.0,HE287,19.80256,-155.85062,636
Puuwaawaa,70.7,HE288,19.72544,-155.87389,1659
Thurston,54.8,HVT,19.415214,-155.238402,1202
Ola a,54.9,HVO,19.478407,-155.214969,1042
Kula Ag,324.6,HN119,20.757889,-156.320028,965
Auwahi,253.0,HN141,20.644222,-156.342056,1168
Park HQ,339.4,HN151,20.759806,-156.248167,2120
Nene Nest,339.5,HN152,20.738194,-156.245833,2590
Summit,339.6,HN153,20.710361,-156.25675,2990
Pohaku Palaha,279.0,HN161,20.730611,-156.141306,2460
Tree Line,278.0,HN162,20.734222,-156.122889,2195
Big Bog,276.0,HN164,20.726556,-156.09225,1645
Mauna Loa Observatory,39.0,MLO,19.5362,-155.5763,3397
